IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
001829-04012019,04-Jan-19,2019,21:28:20,21,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,W6,0,21000762,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000261,RAVENSCOURT PARK,RAVENSCOURT PARK,,,521950,178450,,,London,Hammersmith,321,Chiswick,,,1,1,1,1,333,2,04-01-2019 21:28
001854-04012019,04-Jan-19,2019,23:15:38,23,Fire,Primary Fire,,Non Residential,Other private non-residential building ,On land associated with building,,SM4,0,22104212,E09000024,MERTON,Merton,E05000468,RAVENSBURY,RAVENSBURY,,,526150,167250,,,London,Mitcham,205,Mitcham,421,Sutton,2,2,2,4,1332,1,04-01-2019 23:15
001861-04012019,04-Jan-19,2019,23:43:52,23,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E11,0,22858150,E09000031,WALTHAM FOREST,Waltham Forest,E05000591,CATHALL,CATHALL,,,539250,186650,,,London,Leytonstone,283,Leytonstone,,,1,1,1,1,333,3,04-01-2019 23:43
001864-04012019,04-Jan-19,2019,23:45:55,23,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,CR2 9DH,CR2,1.00021E+11,20502190,E09000008,CROYDON,Croydon,E05011478,SANDERSTEAD,SANDERSTEAD,534901,159727,534950,159750,51.32066106,-0.065457987,London,Purley,495,Purley,,,1,1,1,1,333,6,04-01-2019 23:45
001886-05012019,05-Jan-19,2019,01:18:48,1,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,BR5 2JW,BR5,1.0002E+11,20301196,E09000006,BROMLEY,Bromley,E05000115,CRAY VALLEY WEST,CRAY VALLEY WEST,546633,169080,546650,169050,51.40180848,0.106646477,London,Orpington,435,Orpington,,,1,1,1,1,333,3,05-01-2019 01:18
001887-05012019,05-Jan-19,2019,01:20:19,1,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E14 7RL,E14,6044272,22700168,E09000030,TOWER HAMLETS,Tower Hamlets,E05009329,ST. DUNSTAN'S,ST. DUNSTAN'S,536334,181378,536350,181350,51.5148913,-0.036586218,London,Poplar,293,Poplar,,,1,1,1,1,333,5,05-01-2019 01:20
001911-05012019,05-Jan-19,2019,03:14:22,3,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,TW7 6QH,TW7,1.00023E+11,21500702,E09000018,HOUNSLOW,Hounslow,E05000364,SYON,SYON,515660,176439,515650,176450,51.47510428,-0.335995038,London,Heston,247,Heston,326,Heston,1,2,2,1,333,1,05-01-2019 03:14
001916-05012019,05-Jan-19,2019,03:53:58,3,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E14 7RL,E14,6044272,22700168,E09000030,TOWER HAMLETS,Tower Hamlets,E05009329,ST. DUNSTAN'S,ST. DUNSTAN'S,536334,181383,536350,181350,51.51492895,-0.036576515,London,Poplar,296,Poplar,,,1,1,1,1,333,4,05-01-2019 03:53
001935-05012019,05-Jan-19,2019,05:37:25,5,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,SE18 1BT,SE18,1.00021E+11,20800763,E09000011,GREENWICH,Greenwich,E05000226,PLUMSTEAD,PLUMSTEAD,545152,178779,545150,178750,51.48934335,0.089337417,London,Plumstead,216,Plumstead,,,1,1,1,1,333,4,05-01-2019 05:37
001941-05012019,05-Jan-19,2019,05:58:29,5,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,NW4,0,20008840,E09000003,BARNET,Barnet,E05000055,HENDON,HENDON,,,523250,189450,,,London,Hendon,172,Hendon,181,Hendon,1,2,2,1,333,1,05-01-2019 05:58
001948-05012019,05-Jan-19,2019,06:16:22,6,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,SE18 7SP,SE18,1.00021E+11,20801546,E09000011,GREENWICH,Greenwich,E05000221,GLYNDON,GLYNDON,544337,178289,544350,178250,51.48514746,0.077404554,London,Plumstead,267,Plumstead,,,1,1,1,1,333,6,05-01-2019 06:16
001956-05012019,05-Jan-19,2019,06:33:54,6,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E1 3DF,E1,6032935,22701890,E09000030,TOWER HAMLETS,Tower Hamlets,E05009334,STEPNEY GREEN,STEPNEY GREEN,535708,181520,535750,181550,51.51631913,-0.045545706,London,Shadwell,297,Shadwell,,,1,1,1,1,333,2,05-01-2019 06:33
001974-05012019,05-Jan-19,2019,08:08:47,8,Fire,Primary Fire,,Non Residential,Electricity power station ,Nearby address - no building in street,RM13 9BJ,RM13,2.00003E+11,21300740,E09000016,HAVERING,Havering,E05000318,RAINHAM AND WENNINGTON,RAINHAM AND WENNINGTON,552438,179163,552450,179150,51.49087176,0.194366876,London,Wennington,844,Wennington,,,1,1,4,10,3330,1,05-01-2019 08:08
001975-05012019,05-Jan-19,2019,08:11:55,8,Fire,Primary Fire,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,SE19 2DR,SE19,1.00021E+11,20500648,E09000008,CROYDON,Croydon,E05011467,CRYSTAL PALACE & UPPER NORWOOD,CRYSTAL PALACE & UPPER NORWOOD,533682,169218,533650,169250,51.4062402,-0.0793807,London,Woodside,396,Woodside,402,West Norwood,2,2,2,1,333,1,05-01-2019 08:11
001977-05012019,05-Jan-19,2019,08:23:10,8,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,E6 6JD,E6,10025571183,22200716,E09000025,NEWHAM,Newham,E05000482,EAST HAM SOUTH,EAST HAM SOUTH,542841,182533,542850,182550,51.52365639,0.057591767,London,East Ham,45,East Ham,,,1,1,1,1,333,1,05-01-2019 08:23
001980-05012019,05-Jan-19,2019,08:32:55,8,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,CR4,0,22602441,E09000029,SUTTON,Sutton,E05000571,WANDLE VALLEY,WANDLE VALLEY,,,528250,166650,,,London,Mitcham,334,Mitcham,,,1,1,1,1,333,1,05-01-2019 08:32
001984-05012019,05-Jan-19,2019,08:52:37,8,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),Correct incident location,TW6 1EW,TW6,10090332092,21401039,E09000017,HILLINGDON,Hillingdon,E05000331,HEATHROW VILLAGES,HEATHROW VILLAGES,507787,175674,507750,175650,51.469777,-0.4495524,London,Heathrow,337,Heathrow,751,Hayes,3,3,3,2,666,1,05-01-2019 08:52
001992-05012019,05-Jan-19,2019,09:36:30,9,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW17,0,22904260,E09000032,WANDSWORTH,Wandsworth,E05000616,GRAVENEY,GRAVENEY,,,527950,170650,,,London,Tooting,297,Tooting,358,Tooting,1,2,2,1,333,1,05-01-2019 09:36
001995-05012019,05-Jan-19,2019,10:00:01,10,Fire,Secondary Fire,,Outdoor,Loose refuse ,Open land/water - nearest gazetteer location,E1 6RU,E1,6647229,22700336,E09000030,TOWER HAMLETS,Tower Hamlets,E05009333,SPITALFIELDS & BANGLATOWN,SPITALFIELDS & BANGLATOWN,533952,182191,533950,182150,51.52276304,-0.070586465,London,Whitechapel,275,Whitechapel,,,1,1,1,1,333,2,05-01-2019 10:00
001999-05012019,05-Jan-19,2019,10:11:35,10,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,SW17,0,22905023,E09000032,WANDSWORTH,Wandsworth,E05000612,EARLSFIELD,EARLSFIELD,,,526750,172150,,,London,Tooting,287,Tooting,349,Tooting,1,2,2,4,1332,2,05-01-2019 10:11
002004-05012019,05-Jan-19,2019,10:34:43,10,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,UB2 5SG,UB2,2.00004E+11,21500815,E09000018,HOUNSLOW,Hounslow,E05000356,HESTON EAST,HESTON EAST,512503,178048,512550,178050,51.49020196,-0.380928052,London,Southall,393,Southall,,,1,1,1,1,333,1,05-01-2019 10:34
002005-05012019,05-Jan-19,2019,10:36:48,10,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,HA9 9QJ,HA9,202133947,20202189,E09000005,BRENT,Brent,E05000086,BARNHILL,BARNHILL,518380,187427,518350,187450,51.57330127,-0.293161755,London,Wembley,391,Stanmore,,,1,1,1,1,333,7,05-01-2019 10:36
002008-05012019,05-Jan-19,2019,10:41:40,10,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N4,0,21103950,E09000014,HARINGEY,Haringey,E05000279,STROUD GREEN,STROUD GREEN,,,530850,187350,,,London,Holloway,304,Hornsey,,,1,2,2,1,333,1,05-01-2019 10:41
002014-05012019,05-Jan-19,2019,10:57:56,10,Fire,Primary Fire,,Non Residential,Train station - platform (below ground) ,Correct incident location,NW6 5AD,NW6,202217754,20200839,E09000005,BRENT,Brent,E05000094,KILBURN,KILBURN,525369,183334,525350,183350,51.5350031,-0.193820229,London,Paddington,264,West Hampstead,,,1,1,3,2,666,3,05-01-2019 10:57
002027-05012019,05-Jan-19,2019,11:49:08,11,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,IG1 3ND,IG1,1.00022E+11,22302705,E09000026,REDBRIDGE,Redbridge,E05011241,CRANBROOK,CRANBROOK,542496,187669,542450,187650,51.56989754,0.054709861,London,Ilford,354,Stratford,,,1,1,1,1,333,1,05-01-2019 11:49
002028-05012019,05-Jan-19,2019,11:57:21,11,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,HA9 9PG,HA9,202044322,20203724,E09000005,BRENT,Brent,E05000086,BARNHILL,BARNHILL,519053,186695,519050,186650,51.56657786,-0.283700008,London,Wembley,306,Wembley,508,Harrow,2,2,2,1,333,1,05-01-2019 11:57
002034-05012019,05-Jan-19,2019,12:14:40,12,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,SE3 7RT,SE3,10010246277,20801591,E09000011,GREENWICH,Greenwich,E05000215,BLACKHEATH WESTCOMBE,BLACKHEATH WESTCOMBE,540155,177498,540150,177450,51.47908682,0.016909141,London,East Greenwich,404,Northolt,611,East Greenwich,2,2,2,1,333,1,05-01-2019 12:14
002041-05012019,05-Jan-19,2019,12:42:18,12,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Within same building,,SE1,0,22502285,E09000028,SOUTHWARK,Southwark,E05011095,BOROUGH & BANKSIDE,BOROUGH & BANKSIDE,,,532150,179750,,,London,Dowgate,322,Old Kent Road,331,Lambeth,2,2,2,1,333,2,05-01-2019 12:42
002049-05012019,05-Jan-19,2019,13:08:39,13,Fire,Primary Fire,,Road Vehicle,Car ,In street close to gazetteer location,RM3 0FF,RM3,10024386818,21301092,E09000016,HAVERING,Havering,E05000312,HAROLD WOOD,HAROLD WOOD,556390,192121,556350,192150,51.60621999,0.256999995,London,Harold Hill,403,Harold Hill,,,2,2,3,2,666,4,05-01-2019 13:08
002070-05012019,05-Jan-19,2019,14:02:07,14,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,W1C 2DF,W1C,1.00023E+11,8400159,E09000033,WESTMINSTER,Westminster,E05000649,WEST END,WEST END,528962,181212,528950,181250,51.5151274,-0.142825658,London,Soho,302,Soho,,,1,1,1,1,333,1,05-01-2019 14:02
002081-05012019,05-Jan-19,2019,14:45:44,14,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,SE13 7UW,SE13,10023226954,22001623,E09000023,LEWISHAM,Lewisham,E05000448,LEWISHAM CENTRAL,LEWISHAM CENTRAL,537895,174890,537850,174850,51.45620855,-0.016634238,London,Lewisham,86,Lewisham,194,Forest Hill,2,2,2,1,333,1,05-01-2019 14:45
002091-05012019,05-Jan-19,2019,15:06:51,15,Fire,Primary Fire,,Non Residential,Purpose built office ,Within same building,CR0 1BX,CR0,10093046432,20501121,E09000008,CROYDON,Croydon,E05011468,FAIRFIELD,FAIRFIELD,532569,165861,532550,165850,51.37633737,-0.096625984,London,Croydon,257,Croydon,,,1,1,1,3,999,1,05-01-2019 15:06
002094-05012019,05-Jan-19,2019,15:22:09,15,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,N12,0,20016800,E09000003,BARNET,Barnet,E05000063,WOODHOUSE,WOODHOUSE,,,527050,192350,,,London,Finchley,452,Southgate,,,2,2,3,7,2331,2,05-01-2019 15:22
002096-05012019,05-Jan-19,2019,15:26:34,15,Fire,Secondary Fire,,Outdoor,Straw/stubble burning ,In street close to gazetteer location,W11 4TF,W11,34037950,21000663,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000263,SHEPHERD'S BUSH GREEN,SHEPHERD'S BUSH GREEN,523823,180306,523850,180350,51.50813642,-0.21716378,London,North Kensington,374,North Kensington,,,1,1,1,1,333,6,05-01-2019 15:26
002106-05012019,05-Jan-19,2019,16:00:02,16,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW11,0,22906366,E09000032,WANDSWORTH,Wandsworth,E05000617,LATCHMERE,LATCHMERE,,,526450,175450,,,London,Battersea,218,Battersea,253,Wandsworth,3,3,3,1,333,1,05-01-2019 16:00
002107-05012019,05-Jan-19,2019,16:03:23,16,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Open land/water - nearest gazetteer location,NW2 3SE,NW2,5006205,20400240,E09000007,CAMDEN,Camden,E05000132,FORTUNE GREEN,FORTUNE GREEN,524452,185214,524450,185250,51.55210678,-0.206377503,London,West Hampstead,244,West Hampstead,,,1,1,1,1,333,1,05-01-2019 16:03
